,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
181,Cruise Weddings,Jaisalmer,4039977,184360,130596,62268,163701,Venue Decor/519830,460960,Celebrity Singers/Dancer,3825,High-Quality,389,Customized Invitations
182,////Destination Weddings////,Shimla,3738871,645726,147883,228368,219608,Floral Decor,154005,Professional Singer/Dance,3966,High-Quality,53,Traditional Paper
183,Resort Weddings,////Mussoorie////,2382754,121304,36276,270737,90054,Venue Decor/519830,160707,Professional Singer/Dance,2876,High-Quality,716,Boxed
184,Cruise Weddings,Mumbai,5924737,166037,143070,275740,435133,Luxury Package,121613,Professional Singer/Dance,868,Edible,360,Customized Invitations
185,Heritage Weddings,Hyderabad,11289258,743746,259389,74933,325150,Floral Decor,236073,Professional Singer/Dance,4681,Premium Perfumes,761,Boxed
186,Cruise Weddings,Alibaug,6734238,209749,139514,120177,94649,Venue Decor/519830,83931,Live Band,3402,High-Quality,236,Customized Invitations
187,Hotel Weddings,New Delhi,250401,77988,407572,265676,497269,Luxury Package,329778,Celebrity Singers/Dancer,4474,Premium Perfumes,983,Scroll Invitations
188,Heritage Weddings,Lonavala,8776328,792923,440255,295601,343222,Floral Decor,79446,Live Band,1452,Traditional Handicrafts,596,Boxed
189,Heritage Weddings,////Mussoorie////,8599633,767619,329494,165319,529459,Luxury Package,94583,Live Band,2112,High-Quality,168,Customized Invitations
190,Hotel Weddings,Udaipur,925181,55481,218205,173888,423408,Luxury Package,154279,Professional Singer/Dance,1656,Traditional Handicrafts,276,Customized Invitations
191,Beach Weddings,Jaipur,4632503,141678,68315,173254,69727,Venue Decor/519830,372459,Celebrity Singers/Dancer,4858,Premium Perfumes,641,Boxed
192,Heritage Weddings,Udaipur,6492064,912482,311726,271930,245987,Floral Decor,64598,Live Band,4369,Premium Perfumes,707,Boxed
193,////Destination Weddings////,////Agatti Island////xc2,3546080,537089,395827,112189,312452,Floral Decor,111075,Professional Singer/Dance,2841,High-Quality,369,Customized Invitations
194,Beach Weddings,Bangalore,4772479,112479,74623,50083,394981,Floral Decor,48604,Live Band,2534,High-Quality,383,Customized Invitations
195,Resort Weddings,Jaisalmer,3431186,71818,79540,231467,185569,Venue Decor/519830,66282,Live Band,4971,Premium Perfumes,976,Scroll Invitations
196,////Farmhouse Weddings////,Goa,1962630,56698,39332,138351,324290,Floral Decor,255931,Celebrity Singers/Dancer,3092,High-Quality,834,Scroll Invitations
197,////Temple Weddings////,Jaipur,26877,29071,7620,125201,378383,Floral Decor,325061,Celebrity Singers/Dancer,2179,High-Quality,470,Customized Invitations
198,Palace Weddings,New Delhi,8635164,853826,160776,235369,255958,Floral Decor,91452,Live Band,4911,Premium Perfumes,352,Customized Invitations
199,Palace Weddings,////Mussoorie////,6261662,213992,105833,148500,345365,Floral Decor,140300,Professional Singer/Dance,4176,Premium Perfumes,377,Customized Invitations
200,////Temple Weddings////,Alibaug,44324,28505,8002,284563,479658,Luxury Package,375291,Celebrity Singers/Dancer,1000,Traditional Handicrafts,231,Customized Invitations
201,Resort Weddings,Jodhpur,3392082,80432,59466,282306,316259,Floral Decor,440979,Celebrity Singers/Dancer,1994,Traditional Handicrafts,852,Scroll Invitations
202,Cruise Weddings,Alibaug,7429899,161758,120261,260153,333926,Floral Decor,498097,Celebrity Singers/Dancer,4621,Premium Perfumes,434,Customized Invitations
203,Beach Weddings,////Bangaram Island////,2542058,179807,77203,216372,130058,Venue Decor/519830,244931,Professional Singer/Dance,4762,Premium Perfumes,365,Customized Invitations
204,////Temple Weddings////,Alibaug,95773,15831,10463,256749,299466,Floral Decor,395418,Celebrity Singers/Dancer,2247,High-Quality,639,Boxed
205,Hotel Weddings,Bangalore,551620,74667,46797,90657,171130,Venue Decor/519830,151878,Professional Singer/Dance,2605,High-Quality,386,Customized Invitations
206,////Destination Weddings////,Shimla,4602205,622368,106972,28578,187877,Venue Decor/519830,64386,Live Band,3940,High-Quality,684,Boxed
207,Heritage Weddings,Bangalore,10881116,538841,153045,27436,54782,Mandap,408045,Celebrity Singers/Dancer,2334,High-Quality,957,Scroll Invitations
208,Palace Weddings,////Agatti Island////xc2,6567116,615796,538752,36780,458387,Luxury Package,162918,Professional Singer/Dance,2977,High-Quality,334,Customized Invitations
209,Palace Weddings,Jaipur,7696443,210256,294402,188964,66091,Venue Decor/519830,157168,Professional Singer/Dance,1896,Traditional Handicrafts,596,Boxed
210,////Destination Weddings////,Mumbai,4380155,692012,271597,233913,407798,Luxury Package,312176,Celebrity Singers/Dancer,2094,High-Quality,707,Boxed
211,////Farmhouse Weddings////,Mumbai,2183338,75738,80296,57470,130881,Venue Decor/519830,62363,Live Band,683,Edible,362,Customized Invitations
212,Palace Weddings,Mumbai,8028085,271118,318469,133467,558723,Luxury Package,478503,Celebrity Singers/Dancer,769,Edible,781,Boxed
213,Palace Weddings,Nainital,6556195,396286,187988,112624,256883,Floral Decor,239599,Professional Singer/Dance,1843,Traditional Handicrafts,350,Customized Invitations
214,////Farmhouse Weddings////,Goa,3896265,58619,86020,283016,356731,Floral Decor,203835,Professional Singer/Dance,3550,High-Quality,193,Customized Invitations
215,Hotel Weddings,////Mussoorie////,427284,76315,544900,90613,182572,Venue Decor/519830,361809,Celebrity Singers/Dancer,1912,Traditional Handicrafts,687,Boxed
216,Beach Weddings,Jodhpur,2438979,138811,62821,253356,372133,Floral Decor,461388,Celebrity Singers/Dancer,3430,High-Quality,284,Customized Invitations
217,Cruise Weddings,Jaipur,6861790,175999,96028,24707,376797,Floral Decor,384740,Celebrity Singers/Dancer,2009,High-Quality,609,Boxed
218,////Temple Weddings////,////Mussoorie////,22597,23170,9123,88759,422712,Luxury Package,279751,Celebrity Singers/Dancer,1467,Traditional Handicrafts,638,Boxed
219,////Farmhouse Weddings////,Jodhpur,1663119,74738,56631,227023,434545,Luxury Package,143662,Professional Singer/Dance,4557,Premium Perfumes,58,Traditional Paper
220,Beach Weddings,Jaipur,3741503,136093,91283,200714,406940,Luxury Package,436653,Celebrity Singers/Dancer,1366,Traditional Handicrafts,473,Customized Invitations
221,Cruise Weddings,////Agatti Island////xc2,6330411,232117,80995,296798,549438,Luxury Package,328114,Celebrity Singers/Dancer,2869,High-Quality,462,Customized Invitations
222,////Farmhouse Weddings////,Neil Island,3210478,80862,41756,216667,374662,Floral Decor,57916,Live Band,1843,Traditional Handicrafts,690,Boxed
223,Heritage Weddings,Shimla,8035962,916516,325225,138989,575745,Luxury Package,362186,Celebrity Singers/Dancer,2275,High-Quality,999,Scroll Invitations
224,Resort Weddings,////Rishikesh////xc2,1899816,136018,61465,295111,281576,Floral Decor,350415,Celebrity Singers/Dancer,4086,Premium Perfumes,726,Boxed
225,Cruise Weddings,Goa,5829214,184218,81877,72283,173509,Venue Decor/519830,447902,Celebrity Singers/Dancer,1863,Traditional Handicrafts,632,Boxed
226,////Farmhouse Weddings////,Goa,3206197,68609,53900,269822,146175,Venue Decor/519830,165116,Professional Singer/Dance,4927,Premium Perfumes,931,Scroll Invitations
227,Hotel Weddings,Mumbai,644512,78684,530866,299585,155022,Venue Decor/519830,255484,Celebrity Singers/Dancer,3098,High-Quality,60,Traditional Paper
228,////Destination Weddings////,Lonavala,4328645,664846,255250,125676,355028,Floral Decor,212431,Professional Singer/Dance,4924,Premium Perfumes,316,Customized Invitations
229,Beach Weddings,Shimla,2319884,83792,86069,223116,291681,Floral Decor,226111,Professional Singer/Dance,2264,High-Quality,921,Scroll Invitations
230,Beach Weddings,Goa,4954388,125546,49906,71656,94000,Venue Decor/519830,282491,Celebrity Singers/Dancer,1446,Traditional Handicrafts,642,Boxed
231,////Farmhouse Weddings////,Shimla,2508845,67992,49911,175259,470533,Luxury Package,270033,Celebrity Singers/Dancer,2080,High-Quality,140,Customized Invitations
232,////Destination Weddings////,Mumbai,3821819,653529,368745,211290,428002,Luxury Package,182941,Professional Singer/Dance,1510,Traditional Handicrafts,407,Customized Invitations
233,Heritage Weddings,////Bangaram Island////,5636891,929423,290111,242615,263078,Floral Decor,322939,Celebrity Singers/Dancer,3019,High-Quality,525,Boxed
234,Heritage Weddings,Nainital,8350201,851157,172909,146337,492240,Luxury Package,87290,Live Band,1828,Traditional Handicrafts,958,Scroll Invitations
235,Hotel Weddings,Varanasi,891256,50091,313752,257812,563657,Luxury Package,207837,Professional Singer/Dance,3262,High-Quality,946,Scroll Invitations
236,////Temple Weddings////,Varanasi,82058,27738,12266,152188,451661,Luxury Package,104515,Professional Singer/Dance,1907,Traditional Handicrafts,653,Boxed
237,////Farmhouse Weddings////,Udaipur,2619407,69482,77754,88066,379056,Floral Decor,32037,Live Band,1348,Traditional Handicrafts,339,Customized Invitations
238,////Farmhouse Weddings////,Jaipur,2047088,79472,58334,205191,448640,Luxury Package,475507,Celebrity Singers/Dancer,800,Edible,664,Boxed
239,Cruise Weddings,////Mussoorie////,4934588,136417,105617,282938,518349,Luxury Package,188295,Professional Singer/Dance,3782,High-Quality,52,Traditional Paper
240,Hotel Weddings,Hyderabad,799774,63893,81682,290467,222492,Floral Decor,52001,Live Band,913,Edible,515,Boxed
241,Palace Weddings,Jaisalmer,8694456,819202,220723,98113,241268,Floral Decor,451926,Celebrity Singers/Dancer,1132,Traditional Handicrafts,903,Scroll Invitations
242,Heritage Weddings,////Rishikesh////xc2,6442469,931274,115739,261387,278091,Floral Decor,340250,Celebrity Singers/Dancer,4011,Premium Perfumes,994,Scroll Invitations
243,Heritage Weddings,New Delhi,6773705,985854,541200,141291,513330,Luxury Package,498748,Celebrity Singers/Dancer,1590,Traditional Handicrafts,204,Customized Invitations
244,Hotel Weddings,////Bangaram Island////,809890,54925,247316,118212,507943,Luxury Package,207823,Professional Singer/Dance,737,Edible,950,Scroll Invitations
245,////Farmhouse Weddings////,Shimla,3498158,90159,89714,236346,288708,Floral Decor,415013,Celebrity Singers/Dancer,721,Edible,171,Customized Invitations
246,Hotel Weddings,////Mussoorie////,423415,87364,373437,173788,85469,Venue Decor/519830,351416,Celebrity Singers/Dancer,1343,Traditional Handicrafts,974,Scroll Invitations
247,Palace Weddings,////Agatti Island////xc2,7536480,530077,277303,97320,135454,Venue Decor/519830,190074,Professional Singer/Dance,3503,High-Quality,343,Customized Invitations
248,////Destination Weddings////,Mumbai,5599535,560073,293663,254837,58868,Mandap,172961,Professional Singer/Dance,3724,High-Quality,471,Customized Invitations
249,////Farmhouse Weddings////,Tirupati,2720478,54104,93841,285446,383653,Floral Decor,252013,Celebrity Singers/Dancer,2337,High-Quality,378,Customized Invitations
250,////Destination Weddings////,////Rishikesh////xc2,4207782,568265,109143,109262,329867,Floral Decor,158133,Professional Singer/Dance,3839,High-Quality,306,Customized Invitations
251,Resort Weddings,Shimla,2540255,97516,103594,61131,280299,Floral Decor,275727,Celebrity Singers/Dancer,4654,Premium Perfumes,391,Customized Invitations
252,Beach Weddings,Hyderabad,2569086,104845,47971,118569,456604,Luxury Package,399106,Celebrity Singers/Dancer,3080,High-Quality,218,Customized Invitations
253,Resort Weddings,////Agatti Island////xc2,3087355,198074,107340,74590,262803,Floral Decor,118954,Professional Singer/Dance,716,Edible,91,Traditional Paper
254,Resort Weddings,Mumbai,1909846,200137,100316,173025,127666,Venue Decor/519830,120669,Professional Singer/Dance,4215,Premium Perfumes,618,Boxed
255,Hotel Weddings,New Delhi,316705,98043,286436,107697,209042,Floral Decor,370882,Celebrity Singers/Dancer,3801,High-Quality,979,Scroll Invitations
256,Palace Weddings,Tirupati,6131356,748174,375356,215131,210217,Floral Decor,334860,Celebrity Singers/Dancer,3728,High-Quality,501,Boxed
257,Cruise Weddings,Alibaug,3730884,225934,96320,23714,274606,Floral Decor,92807,Live Band,3231,High-Quality,463,Customized Invitations
258,Cruise Weddings,Hyderabad,3811320,103510,145340,73384,551882,Luxury Package,413094,Celebrity Singers/Dancer,1357,Traditional Handicrafts,686,Boxed
259,Cruise Weddings,Bangalore,5998812,163350,139673,169817,349100,Floral Decor,219849,Professional Singer/Dance,552,Edible,555,Boxed
260,Beach Weddings,Neil Island,3538394,138484,46344,149092,331500,Floral Decor,478888,Celebrity Singers/Dancer,2815,High-Quality,821,Scroll Invitations
261,////Farmhouse Weddings////,////Bangaram Island////,3271516,82673,47199,153946,138171,Venue Decor/519830,42416,Live Band,916,Edible,736,Boxed
262,Beach Weddings,Jodhpur,2569165,164980,46382,240783,339366,Floral Decor,341214,Celebrity Singers/Dancer,3040,High-Quality,414,Customized Invitations
263,Hotel Weddings,Udaipur,260088,95856,485402,161819,327550,Floral Decor,361247,Celebrity Singers/Dancer,2711,High-Quality,495,Customized Invitations
264,////Destination Weddings////,////Agatti Island////xc2,3161643,697651,183009,297670,524358,Luxury Package,149124,Professional Singer/Dance,2463,High-Quality,913,Scroll Invitations
265,Palace Weddings,////Mussoorie////,8035469,286076,478650,229196,455808,Luxury Package,392319,Celebrity Singers/Dancer,4136,Premium Perfumes,381,Customized Invitations
266,////Destination Weddings////,Lonavala,3272958,658984,219663,38770,522904,Luxury Package,236725,Professional Singer/Dance,2974,High-Quality,358,Customized Invitations
267,Beach Weddings,Alibaug,1850253,145599,94114,264842,282783,Floral Decor,422951,Celebrity Singers/Dancer,1704,Traditional Handicrafts,397,Customized Invitations
268,Beach Weddings,Jodhpur,3807598,75819,91436,137845,417659,Luxury Package,299417,Celebrity Singers/Dancer,1464,Traditional Handicrafts,635,Boxed
269,////Temple Weddings////,Udaipur,58860,29987,12440,271646,535280,Luxury Package,263001,Celebrity Singers/Dancer,2886,High-Quality,728,Boxed
270,////Farmhouse Weddings////,////Bangaram Island////,3896492,64316,84864,169846,103681,Venue Decor/519830,279022,Celebrity Singers/Dancer,4390,Premium Perfumes,763,Boxed
271,////Destination Weddings////,////Mussoorie////,5796108,617753,177890,190535,595187,Luxury Package,89367,Live Band,2088,High-Quality,347,Customized Invitations
272,Heritage Weddings,Udaipur,10585413,519357,95067,71154,501711,Luxury Package,177438,Professional Singer/Dance,4899,Premium Perfumes,644,Boxed
273,////Destination Weddings////,Nainital,4764078,531581,160828,261632,257897,Floral Decor,328251,Celebrity Singers/Dancer,4526,Premium Perfumes,349,Customized Invitations
274,Palace Weddings,Goa,5256610,754798,144403,247437,64869,Venue Decor/519830,121142,Professional Singer/Dance,3624,High-Quality,524,Boxed
275,Heritage Weddings,Jodhpur,9904745,901807,239594,42769,352349,Floral Decor,77154,Live Band,2366,High-Quality,800,Scroll Invitations
276,Heritage Weddings,Mumbai,6685109,112869,661495,99590,531667,Luxury Package,367935,Celebrity Singers/Dancer,978,Edible,565,Boxed
277,////Destination Weddings////,Neil Island,3865263,649903,318387,79267,517242,Luxury Package,231155,Professional Singer/Dance,2553,High-Quality,234,Customized Invitations
278,Cruise Weddings,Jaisalmer,7673827,120524,106877,155142,443622,Luxury Package,353340,Celebrity Singers/Dancer,3982,High-Quality,306,Customized Invitations
279,////Farmhouse Weddings////,////Rishikesh////xc2,1970391,93073,92494,259351,557503,Luxury Package,299120,Celebrity Singers/Dancer,3630,High-Quality,155,Customized Invitations
280,////Temple Weddings////,Bangalore,25815,27881,8960,229849,331706,Floral Decor,109791,Professional Singer/Dance,3429,High-Quality,404,Customized Invitations
281,Cruise Weddings,Neil Island,6447587,137371,85571,138371,255258,Floral Decor,172113,Professional Singer/Dance,2965,High-Quality,265,Customized Invitations
282,////Farmhouse Weddings////,Neil Island,2325518,57679,36053,222686,389185,Floral Decor,429551,Celebrity Singers/Dancer,1455,Traditional Handicrafts,952,Scroll Invitations
283,////Farmhouse Weddings////,Bangalore,3383960,78546,85232,189190,233455,Floral Decor,278618,Celebrity Singers/Dancer,1318,Traditional Handicrafts,698,Boxed
284,////Farmhouse Weddings////,Alibaug,1781994,90992,64437,226088,162045,Venue Decor/519830,406456,Celebrity Singers/Dancer,3804,High-Quality,469,Customized Invitations
285,////Destination Weddings////,////Agatti Island////xc2,4999421,667718,128752,227035,316025,Floral Decor,350501,Celebrity Singers/Dancer,1039,Traditional Handicrafts,133,Customized Invitations
286,Resort Weddings,Jodhpur,2292858,129674,93341,199444,354274,Floral Decor,192226,Professional Singer/Dance,4797,Premium Perfumes,241,Customized Invitations
287,////Destination Weddings////,Hyderabad,3493382,568466,368270,220227,593177,Luxury Package,260425,Celebrity Singers/Dancer,4774,Premium Perfumes,616,Boxed
